,< $10,$10-15,$15-20,$20-25,$25-30,$30-35,$35-40,$40-45,$45-50,$50-60,$60-75,$75-100,$100-125,$125-150,$150-199,> $200
< 25,642,301,196,251,385,236,119,341,296,385,440,829,198,82,21,89
25-44,2079,1153,1597,1863,2333,2795,2024,2777,2710,5808,8134,11998,9663,8316,10278,15390
45-64,2866,1993,1868,2326,2102,2532,2358,3344,2578,5925,9445,14098,11345,9147,12906,22030
65+,2440,3336,3210,3085,3335,2695,2642,2562,2146,4575,5271,6227,4743,3403,3254,4425
