,< $10,$10-15,$15-20,$20-25,$25-30,$30-35,$35-40,$40-45,$45-50,$50-60,$60-75,$75-100,$100-125,$125-150,$150-199,> $200
< 25,3286,777,699,887,522,629,579,438,478,842,1007,979,945,410,624,546
25-44,6617,3525,2399,3444,3484,4094,3370,3793,3747,7961,11673,17535,16705,11225,18481,27826
45-64,7781,6523,4106,4855,3843,4027,3456,3499,3244,6981,9066,13680,10920,8319,10325,16170
65+,5525,10444,5877,4795,3674,3445,2667,2806,2325,3717,4597,5714,4024,2620,2767,4025
