,< $10,$10-15,$15-20,$20-25,$25-30,$30-35,$35-40,$40-45,$45-50,$50-60,$60-75,$75-100,$100-125,$125-150,$150-199,> $200
< 25,1351,673,769,656,616,772,448,517,278,983,750,781,392,165,257,94
25-44,4532,3197,3617,4011,4008,3967,3612,5275,4405,8387,11339,15879,14779,9141,12878,13144
45-64,5657,4313,3502,4359,3496,4615,4251,3905,3980,9653,13866,21236,18480,14704,19999,26231
65+,3350,5490,5102,4704,4317,4294,4600,3764,3706,5974,8507,9214,6185,3893,4295,4540
